resc_reprt_no,acdnt_cause,prcs_result_se_nm,dclr_ymd,dclr_tm,dclr_yr,season_se_nm,qu_se_nm,dclr_mm,dclr_dd,dclr_hh,dclr_mi,daywk,dsp_ymd,dsp_tm,dsp_yr,dsp_mm,dsp_dd,dsp_hh,dsp_mi,spt_arvl_ymd,spt_arvl_tm,spt_arvl_yr,spt_arvl_mm,spt_arvl_dd,spt_arvl_hh,spt_arvl_mi,resc_cmptn_ymd,resc_cmptn_tm,resc_cmptn_yr,resc_cmptn_mm,resc_cmptn_dd,resc_cmptn_hh,resc_cmptn_mi,hmg_ymd,hmg_tm,hmg_yr,hmg_mm,hmg_dd,hmg_hh,hmg_mi,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se,dong_se,loc_info_x,loc_info_y,spt_frstt_dist,acdnt_place_nm,acdnt_place_detail_nm,acdnt_cause_asort_nm,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,frstt_nm,ward_nm,lfdau_nm
20165003105S00001,동물포획,안전조치,20160101,72900,2016,겨울,1,1,1,7,29,금요일,20160101,73100,2016,1,1,7,31,20160101,74200,2016,1,1,7,42,20160101,81000,2016,1,1,8,10,20160101,82800,2016,1,1,8,28,제주특별자치도,서귀포시,하예동,도시,동,141278.96,21378.18,6.0,도로교통,도로,개,7.8,,0.7,360.0,69.0,,서부소방서,안덕센터,
20165002104S00002,동물포획,안전조치,20160103,82600,2016,겨울,1,1,3,8,26,일요일,20160103,82600,2016,1,3,8,26,20160103,83000,2016,1,3,8,30,20160103,83500,2016,1,3,8,35,20160103,84500,2016,1,3,8,45,제주특별자치도,서귀포시,법환동,도시,동,154328.05,23592.06,1.0,기타,기타,개,10.4,,1.1,360.0,72.0,,서귀포소방서,대신센터,
20165003201S00003,동물포획,안전조치,20160104,103400,2016,겨울,1,1,4,10,34,월요일,20160104,103500,2016,1,4,10,35,20160104,105500,2016,1,4,10,55,20160104,112100,2016,1,4,11,21,20160104,114800,2016,1,4,11,48,제주특별자치도,제주시,애월읍,농촌,읍,146566.0124,46384.7462,15.0,기타,기타,개,11.7,,3.0,20.0,76.0,,서부소방서,서부구조대,
20165001110S00001,동물포획,안전조치,20160104,173600,2016,겨울,1,1,4,17,36,월요일,20160104,173800,2016,1,4,17,38,20160104,174500,2016,1,4,17,45,20160104,175000,2016,1,4,17,50,20160104,181600,2016,1,4,18,16,제주특별자치도,제주시,조천읍,농촌,읍,167845.53,53585.1,5.0,기타,기타,개,11.3,,0.9,340.0,62.0,,동부소방서,조천센터,
20165001201S00038,동물포획,안전조치,20160106,153900,2016,겨울,1,1,6,15,39,수요일,20160106,153900,2016,1,6,15,39,20160106,155000,2016,1,6,15,50,20160106,161500,2016,1,6,16,15,20160106,163500,2016,1,6,16,35,제주특별자치도,제주시,삼양일동,도시,동,161871.54,53322.55,15.0,도로교통,도로,개,7.8,,3.3,340.0,64.0,,제주소방서,제주구조대,
20165001110S00004,동물포획,안전조치,20160107,94900,2016,겨울,1,1,7,9,49,목요일,20160107,95100,2016,1,7,9,51,20160107,95600,2016,1,7,9,56,20160107,103000,2016,1,7,10,30,20160107,105700,2016,1,7,10,57,제주특별자치도,제주시,조천읍,농촌,읍,168509.98,55470.1,3.0,단독주택,단독주택,개,7.5,0.0,6.7,340.0,62.0,,동부소방서,조천센터,
20165001201S00047,동물포획,안전조치,20160108,172900,2016,겨울,1,1,8,17,29,금요일,20160108,172900,2016,1,8,17,29,20160108,173200,2016,1,8,17,32,20160108,173800,2016,1,8,17,38,20160108,174400,2016,1,8,17,44,제주특별자치도,제주시,아라이동,도시,동,157759.08,49472.53,1.0,단독주택,단독주택,개,6.6,,5.7,320.0,57.0,,제주소방서,제주구조대,
20165001201S00061,동물포획,안전조치,20160111,200800,2016,겨울,1,1,11,20,8,월요일,20160111,201000,2016,1,11,20,10,20160111,201600,2016,1,11,20,16,20160111,202500,2016,1,11,20,25,20160111,203000,2016,1,11,20,30,제주특별자치도,제주시,아라이동,도시,동,158221.6,48150.64,3.0,아파트,아파트,개,5.4,,4.2,20.0,68.0,,제주소방서,제주구조대,
20165003106S00002,동물포획,안전조치,20160114,121500,2016,겨울,1,1,14,12,15,목요일,20160114,121600,2016,1,14,12,16,20160114,121800,2016,1,14,12,18,20160114,123000,2016,1,14,12,30,20160114,123300,2016,1,14,12,33,제주특별자치도,서귀포시,대정읍,농촌,읍,132591.81,27104.04,1.0,아파트,아파트,개,7.5,,3.7,270.0,41.0,,서부소방서,영어교육도시119센터,
20165003104S00004,동물포획,안전조치,20160114,194100,2016,겨울,1,1,14,19,41,목요일,20160114,194400,2016,1,14,19,44,20160114,195200,2016,1,14,19,52,20160114,201000,2016,1,14,20,10,20160114,202000,2016,1,14,20,20,제주특별자치도,서귀포시,대정읍,농촌,읍,130253.75,19982.43,2.0,기타,기타,개,5.8,,1.6,340.0,44.0,,서부소방서,대정센터,
20165001106S00001,동물포획,기타,20160116,143100,2016,겨울,1,1,16,14,31,토요일,20160116,143200,2016,1,16,14,32,20160116,143800,2016,1,16,14,38,20160116,144300,2016,1,16,14,43,20160116,145500,2016,1,16,14,55,제주특별자치도,제주시,삼양일동,도시,동,161730.56,53388.51,3.0,기타,기타,개,10.9,,3.7,50.0,56.0,,제주소방서,화북센터,
20165002201S00048,동물포획,안전조치,20160118,125900,2016,겨울,1,1,18,12,59,월요일,20160118,130000,2016,1,18,13,0,20160118,130600,2016,1,18,13,6,20160118,131600,2016,1,18,13,16,20160118,134000,2016,1,18,13,40,제주특별자치도,서귀포시,서홍동,도시,동,158190.32,24721.1,3.5,단독주택,단독주택,개,5.3,0.0,2.6,270.0,48.0,,서귀포소방서,서귀포구조대,
20165002201S00050,동물포획,안전조치,20160118,153800,2016,겨울,1,1,18,15,38,월요일,20160118,154100,2016,1,18,15,41,20160118,154500,2016,1,18,15,45,20160118,160000,2016,1,18,16,0,20160118,161800,2016,1,18,16,18,제주특별자치도,서귀포시,토평동,도시,동,161357.69,25433.11,2.0,도로교통,도로,개,2.8,0.0,2.3,290.0,59.0,,서귀포소방서,서귀포구조대,
20165001110S00015,동물포획,안전조치,20160120,112400,2016,겨울,1,1,20,11,24,수요일,20160120,112600,2016,1,20,11,26,20160120,115500,2016,1,20,11,55,20160120,115900,2016,1,20,11,59,20160120,122600,2016,1,20,12,26,제주특별자치도,제주시,조천읍,농촌,읍,172169.05,49181.07,12.0,단독주택,단독주택,개,2.5,,4.4,360.0,66.0,,동부소방서,조천센터,
20165001102S00016,동물포획,기타,20160120,173100,2016,겨울,1,1,20,17,31,수요일,20160120,173200,2016,1,20,17,32,20160120,173900,2016,1,20,17,39,20160120,174200,2016,1,20,17,42,20160120,175500,2016,1,20,17,55,제주특별자치도,제주시,용담일동,도시,동,154883.56,51809.24,2.0,상가ㆍ시장,일반상가,개,2.5,,4.7,340.0,63.0,,제주소방서,삼도센터,
20165001108S00004,동물포획,안전조치,20160121,114100,2016,겨울,1,1,21,11,41,목요일,20160121,114400,2016,1,21,11,44,20160121,115100,2016,1,21,11,51,20160121,115800,2016,1,21,11,58,20160121,121000,2016,1,21,12,10,제주특별자치도,제주시,구좌읍,농촌,읍,184290.1,55346.59,4.0,단독주택,단독주택,개,3.0,,4.0,20.0,68.0,,동부소방서,구좌센터,
20165002201S00063,동물포획,기타,20160122,122600,2016,겨울,1,1,22,12,26,금요일,20160122,122600,2016,1,22,12,26,20160122,124500,2016,1,22,12,45,20160122,132000,2016,1,22,13,20,20160122,135800,2016,1,22,13,58,제주특별자치도,서귀포시,회수동,도시,동,148352.86,25048.0,14.0,단독주택,단독주택,개,6.8,,2.1,230.0,56.0,,서귀포소방서,서귀포구조대,
20165003102S00011,동물포획,안전조치,20160122,203900,2016,겨울,1,1,22,20,39,금요일,20160122,204100,2016,1,22,20,41,20160122,205500,2016,1,22,20,55,20160122,211500,2016,1,22,21,15,20160122,213000,2016,1,22,21,30,제주특별자치도,제주시,애월읍,농촌,읍,144734.35,42347.67,9.0,공원,공원,개,3.1,,6.3,20.0,58.0,,서부소방서,애월센터,
20165001201S00192,동물포획,안전조치,20160128,162400,2016,겨울,1,1,28,16,24,목요일,20160128,162500,2016,1,28,16,25,20160128,163500,2016,1,28,16,35,20160128,170200,2016,1,28,17,2,20160128,171000,2016,1,28,17,10,제주특별자치도,제주시,이도이동,도시,동,157779.73,50582.33,1.5,도로교통,도로,개,10.7,,3.8,70.0,95.0,,제주소방서,제주구조대,
20165003201S00056,동물포획,안전조치,20160129,141000,2016,겨울,1,1,29,14,10,금요일,20160129,141100,2016,1,29,14,11,20160129,141500,2016,1,29,14,15,20160129,143100,2016,1,29,14,31,20160129,143600,2016,1,29,14,36,제주특별자치도,제주시,한림읍,농촌,읍,131720.68,40522.44,1.0,학교ㆍ유치원,중학교,개,10.0,,4.2,70.0,93.0,,서부소방서,서부구조대,
20165001201S00212,동물포획,안전조치,20160131,154500,2016,겨울,1,1,31,15,45,일요일,20160131,154700,2016,1,31,15,47,20160131,155700,2016,1,31,15,57,20160131,170000,2016,1,31,17,0,20160131,174000,2016,1,31,17,40,제주특별자치도,제주시,도련이동,도시,동,161978.18,52380.6,9.0,도로교통,도로,개,5.4,,2.8,320.0,67.0,,제주소방서,제주구조대,
20165002201S00093,동물포획,안전조치,20160201,121900,2016,겨울,1,2,1,12,19,월요일,20160201,122300,2016,2,1,12,23,20160201,124000,2016,2,1,12,40,20160201,132000,2016,2,1,13,20,20160201,134000,2016,2,1,13,40,제주특별자치도,서귀포시,서홍동,도시,동,157717.99,24531.7,4.0,작업ㆍ공사장,작업장,개,7.6,,2.5,180.0,63.0,,서귀포소방서,서귀포구조대,
20165002104S00019,동물포획,안전조치,20160202,141200,2016,겨울,1,2,2,14,12,화요일,20160202,141200,2016,2,2,14,12,20160202,143800,2016,2,2,14,38,20160202,151800,2016,2,2,15,18,20160202,153000,2016,2,2,15,30,제주특별자치도,서귀포시,법환동,도시,동,155059.14,21727.32,2.0,기타,기타,개,6.9,,3.6,180.0,53.0,,서귀포소방서,대신센터,
20165004201S00056,동물포획,안전조치,20160202,183800,2016,겨울,1,2,2,18,38,화요일,20160202,183800,2016,2,2,18,38,20160202,184600,2016,2,2,18,46,20160202,185700,2016,2,2,18,57,20160202,192800,2016,2,2,19,28,제주특별자치도,서귀포시,성산읍,농촌,읍,194014.1,46560.33,4.0,산,산기타,개,2.4,,3.2,290.0,62.0,,동부소방서,동부구조대,
