resc_reprt_no,acdnt_cause,prcs_result_se_nm,dclr_ymd,dclr_tm,dclr_yr,season_se_nm,qu_se_nm,dclr_mm,dclr_dd,dclr_hh,dclr_mi,daywk,dsp_ymd,dsp_tm,dsp_yr,dsp_mm,dsp_dd,dsp_hh,dsp_mi,spt_arvl_ymd,spt_arvl_tm,spt_arvl_yr,spt_arvl_mm,spt_arvl_dd,spt_arvl_hh,spt_arvl_mi,resc_cmptn_ymd,resc_cmptn_tm,resc_cmptn_yr,resc_cmptn_mm,resc_cmptn_dd,resc_cmptn_hh,resc_cmptn_mi,hmg_ymd,hmg_tm,hmg_yr,hmg_mm,hmg_dd,hmg_hh,hmg_mi,sido_nm,sigungu_nm,emd_nm,cty_frmvl_se,dong_se,loc_info_x,loc_info_y,spt_frstt_dist,acdnt_place_nm,acdnt_place_detail_nm,acdnt_cause_asort_nm,time_unit_tmprt,time_unit_rainqty,time_unit_ws,time_unit_wd,time_unit_humidity,time_unit_msnf,frstt_nm,ward_nm,lfdau_nm
20215003102S00001,동물포획,안전조치,20210101,205200,2021,겨울,1,1,1,20,52,금요일,20210101,205300,2021,1,1,20,53,20210101,210100,2021,1,1,21,1,20210101,210300,2021,1,1,21,3,20210101,211400,2021,1,1,21,14,제주특별자치도,제주시,애월읍,농촌,읍,139647.78,47693.62,6.0,숙박시설,콘도미니엄,개,6.3,,2.3,290.0,55.0,,서부소방서,애월센터,
20215002108S00001,동물포획,안전조치,20210102,110000,2021,겨울,1,1,2,11,0,토요일,20210102,110100,2021,1,2,11,1,20210102,111400,2021,1,2,11,14,20210102,113500,2021,1,2,11,35,20210102,115000,2021,1,2,11,50,제주특별자치도,서귀포시,남원읍,농촌,읍,170134.9058,30549.3728,8.6,논밭.축사,하우스 시설물,개,6.8,,1.7,250.0,62.0,,동부소방서,남원센터,
20215003103S00001,동물포획,안전조치,20210102,115400,2021,겨울,1,1,2,11,54,토요일,20210102,115600,2021,1,2,11,56,20210102,121200,2021,1,2,12,12,20210102,125000,2021,1,2,12,50,20210102,131000,2021,1,2,13,10,제주특별자치도,제주시,한경면,농촌,면,130672.95,31611.04,2.7,도로. 철도,기타 도로.철도,개,7.6,,4.5,340.0,61.0,,서부소방서,한경센터,
20215001110S00002,동물포획,안전조치,20210102,120300,2021,겨울,1,1,2,12,3,토요일,20210102,120300,2021,1,2,12,3,20210102,121600,2021,1,2,12,16,20210102,121800,2021,1,2,12,18,20210102,122500,2021,1,2,12,25,제주특별자치도,제주시,조천읍,농촌,읍,170634.1478,56101.9646,4.5,도로. 철도,일반도로(기타),개,7.1,0.0,4.0,360.0,70.0,,동부소방서,조천센터,
20215002108S00002,동물포획,안전조치,20210103,11300,2021,겨울,1,1,3,1,13,일요일,20210103,11400,2021,1,3,1,14,20210103,12300,2021,1,3,1,23,20210103,13000,2021,1,3,1,30,20210103,13500,2021,1,3,1,35,제주특별자치도,서귀포시,남원읍,농촌,읍,167858.5294,25673.86,3.0,도로. 철도,일반도로(기타),개,5.3,,1.1,340.0,70.0,,동부소방서,남원센터,
20215001401S00011,동물포획,안전조치,20210104,102500,2021,겨울,1,1,4,10,25,월요일,20210104,102700,2021,1,4,10,27,20210104,103700,2021,1,4,10,37,20210104,112500,2021,1,4,11,25,20210104,113400,2021,1,4,11,34,제주특별자치도,제주시,해안동,도시,동,149956.74,46127.33,4.5,논밭.축사,밭,개,7.6,,1.5,140.0,54.0,,제주소방서,서부분대,
20215001201S00015,동물포획,안전조치,20210104,140500,2021,겨울,1,1,4,14,5,월요일,20210104,140600,2021,1,4,14,6,20210104,141000,2021,1,4,14,10,20210104,142200,2021,1,4,14,22,20210104,150000,2021,1,4,15,0,제주특별자치도,제주시,아라이동,도시,동,157686.2123,49010.0882,2.0,논밭.축사,밭,개,8.0,,1.6,50.0,51.0,,제주소방서,제주구조대,
20215001110S00008,동물포획,안전조치,20210105,112900,2021,겨울,1,1,5,11,29,화요일,20210105,112900,2021,1,5,11,29,20210105,114400,2021,1,5,11,44,20210105,114800,2021,1,5,11,48,20210105,120000,2021,1,5,12,0,제주특별자치도,제주시,조천읍,농촌,읍,168950.7183,49576.5344,7.2,단독주택,단독주택,개,6.8,,4.8,360.0,66.0,,동부소방서,조천센터,
20215003201S00006,동물포획,안전조치,20210107,53900,2021,겨울,1,1,7,5,39,목요일,20210107,54000,2021,1,7,5,40,20210107,55900,2021,1,7,5,59,20210107,61000,2021,1,7,6,10,20210107,63000,2021,1,7,6,30,제주특별자치도,제주시,한경면,농촌,면,126317.48,35346.65,7.9,단독주택,단독주택,개,0.3,,9.5,290.0,62.0,0.1,서부소방서,서부구조대,
20215003201S00010,동물포획,안전조치,20210108,103700,2021,겨울,1,1,8,10,37,금요일,20210108,103700,2021,1,8,10,37,20210108,104300,2021,1,8,10,43,20210108,105000,2021,1,8,10,50,20210108,105500,2021,1,8,10,55,제주특별자치도,제주시,한림읍,농촌,읍,131961.8,41705.09,5.0,판매시설,기타 판매시설,개,-2.3,,6.9,360.0,92.0,6.6,서부소방서,서부구조대,
