acdnt_cause,loc_info_x,loc_info_y
dog,141278.96,21378.18
dog,154328.05,23592.06
dog,146566.0124,23592.06
dog,167845.53,53585.1
dog,161871.54,53322.55
dog,168509.98,55470.1
dog,157759.08,49472.53
dog,158221.6,48150.64
dog,132591.81,27104.04
dog,130253.75,19982.43
dog,161730.56,53388.51
dog,158190.32,24721.1
dog,161357.69,25433.11
dog,172169.05,49181.07
dog,154883.56,51809.24
dog,184290.1,55346.59
dog,148352.86,25048
dog,144734.35,42347.67
dog,157779.73,50582.33
dog,131720.68,40522.44
dog,161978.18,52380.6
dog,157717.99,24531.7
dog,155059.14,21727.32
dog,194014.1,46560.33
dog,131932.75,40491.46
dog,194019.1,46571.1
dog,153604.49,48023.07
dog,160606.34,24903.58
dog,159578.81,26558.81
dog,190241.9463,49846.7141
dog,129255.09,21291.36
dog,157170.49,48654
dog,174054.3,26305.82
dog,155685.04,52079.83
dog,159368.34,53110.51
dog,159368.34,53110.51
dog,144764.54,48767.53
dog,140031.6,47849.92
dog,168616.17,47656.2
dog,136079.54,46410.4
dog,163851.68,24192.1
dog,166273.74,54258.93
dog,162308.43,22352.88
dog,150157.31,47761.02
dog,189295.94,44300.7
dog,185240.37,54304
dog,123411.26,29663.45
dog,168811.83,55225.49
dog,136796.83,47027.57
dog,137901.81,46799.36
dog,131519.73,41798.77
dog,162794.56,26068.79
dog,162794.56,26068.79
dog,156098.2454,51406.6005
dog,136112.52,25293.42
dog,185232.92,41533.58
dog,186593.05,53424.18
dog,157425.19,49154.64
dog,125910.68,28373.12
dog,125910.68,28373.12
dog,182213.89,56772.75
dog,133249.56,39299.05
dog,124048.77,29741.76
dog,125977.54,25806.12
dog,125977.54,25806.12
dog,156425.57,50002.34
dog,157216.9,49044.68
dog,153290.27,49248.38
dog,162679.82,24159.15
dog,162679.82,24159.15
dog,186535.11,43630.58
dog,159273.99,22083
dog,161554.02,53109.83
dog,177271.28,57138.53
dog,190843.99,47459.27
dog,168913.002,31716.615
dog,171884.13,56158.6
dog,126878.96,28042.28
dog,126878.96,28042.28
dog,186457.59,53653.74
dog,166008.31,54692.01
dog,166008.31,54692.01
dog,159508.07,51978.44
dog,175355.43,43517.3
dog,131222.17,41682.83
dog,147617.02,24620.8
dog,153523.59,50526.74
dog,153277.32,49039.42
dog,131077.88,20235.74
dog,169970.84,54904.46
dog,147958.23,50376.86
dog,147958.23,50376.86
dog,147179.13,43633.78
dog,132592.9,40154.35
dog,191237.57,47036.31
dog,191214.48,47380.12
dog,161054.87,53092.24
dog,161054.87,53092.24
dog,191237.57,47036.31
dog,123564.19,29318.67
dog,191214.48,47380.12
dog,155203.61,23576.21
dog,151985.07,49687.01
dog,155320.45,51332.6
dog,191004.34,50144.84
dog,171768.28,56413.25
dog,155879.93,50943.72
dog,191214.48,47380.12
dog,163078.87,21904.89
dog,156155.32,52485.04
dog,123100.87,33640.16
dog,132422.89,35140.68
dog,167086.27,56539.4
dog,163553.29,26460.82
dog,155317.42,51335.42
dog,156622.13,52537.06
dog,182348.35,32523.95
dog,124801.09,26490.78
dog,159762.09,26060.52
dog,181733.95,29325.13
dog,156553.75,50448.87
dog,151215.8,50364.41
dog,134855.79,35804.44
dog,153429.07,49840.42
dog,156944.44,49380.76
dog,146809.91,45964.89
dog,154077.4,49664.49
dog,154077.4,49664.49
dog,146059.1,22287.84
dog,194556.68,46128.44
dog,155410.08,51174.77
dog,156442.91,52454.11
dog,139411.23,24067.3
dog,169255.99,55467.44
dog,152085.74,49802.63
dog,159857.62,48267.67
dog,150723.1,46378.15
dog,180443,55427.08
dog,169262.33,31461.44
dog,150221.98,48639.17
dog,156358.4,52494.21
dog,153193.38,50934.65
dog,159945.67,22915.67
dog,161717.92,26529.3
dog,142525.97,22171.41
dog,129172.06,39207.28
dog,170264.51,50346.61
dog,177145.33,38328.88
dog,177145.33,38328.88
dog,138379.21,29373.72
dog,151310.49,49905.95
dog,139329.38,42475.53
dog,164640.26,54531.06
dog,159144.54,24213.16
dog,166056.39,54753.95
dog,123926.86,33584.19
dog,155276.77,23563.31
dog,155534.96,52469.89
dog,136079.54,46410.4
dog,128486.85,38032.77
dog,168319.9,52786.27
dog,151674.71,49854.62
