fid,x,y
"1",126.3699899303,33.2339917493
"2",126.5098753712,33.2545825308
"3",126.4252319339,33.4597206117
"4",126.6538641631,33.5254880682
"5",126.5895679752,33.5229245688
"6",126.6609503779,33.5425027015
"7",126.5454822293,33.4880591511
"8",126.5505204278,33.4761594187
"9",126.2763672135,33.2851073096
"10",126.2518171704,33.2207528489
"11",126.5880476174,33.5235142116
"12",126.5512697939,33.2649185308
"13",126.5852330326,33.2714561495
"14",126.7005420926,33.4859030400
"15",126.5144245944,33.5090089384
"16",126.8308544135,33.5417377844
"17",126.4456726832,33.2674399972
"18",126.4057785696,33.4232308707
"19",126.5456521640,33.4980656673
"20",126.2660018713,33.4060264758
"21",126.5907558636,33.5144359473
"22",126.5462093920,33.2631924829
"23",126.5178130857,33.2378005348
"24",126.9356094997,33.4626193049
"25",126.2682837891,33.4057606421
"26",126.9356632131,33.4627164362
"27",126.5008546707,33.4748191982
"28",126.5771916199,33.2666546709
"29",126.5660896958,33.2815404218
"30",126.8949966433,33.4922218319
"31",126.2410032245,33.2324888233
"32",126.5391881826,33.4806560798
"33",126.7214852829,33.2797046789
"34",126.5230370482,33.5114820095
"35",126.5626326816,33.5209206542
"36",126.5626326816,33.5209206542
"37",126.4057084920,33.4811114920
"38",126.3548496823,33.4725841465
"39",126.6623673819,33.4720566704
"40",126.3124378099,33.4593776647
"41",126.6120511775,33.2603534046
"42",126.6369190876,33.5315147596
"43",126.5955655518,33.2437178926
"44",126.4637841607,33.4723017482
"45",126.8848831060,33.4422095165
"46",126.8411029584,33.5323513923
"47",126.1776050172,33.3075686571
"48",126.6642088436,33.5403061955
"49",126.3201094481,33.4649842851
"50",126.3320110350,33.4629914803
"51",126.2637447440,33.4175203370
"52",126.6006292417,33.2772380313
"53",126.6006292417,33.2772380313
"54",126.5275172422,33.5054294003
"55",126.3142875584,33.2689975423
"56",126.8412328825,33.4172125938
"57",126.8556785766,33.5244367855
"58",126.5419047184,33.4851798981
"59",126.2045466263,33.2961104595
"60",126.2045466263,33.2961104595
"61",126.8084719807,33.5545633817
"62",126.2825267498,33.3950931628
"63",126.1844432971,33.3083197692
"64",126.2054741392,33.2729722949
"65",126.2054741392,33.2729722949
"66",126.5311081582,33.4927823332
"67",126.5396688727,33.4841802194
"68",126.4974104636,33.4858525970
"69",126.5994762309,33.2600164493
"70",126.5994762309,33.2600164493
"71",126.8552018494,33.4361365291
"72",126.5630185959,33.2411744807
"73",126.5861592572,33.5209953603
"74",126.7552390358,33.5577674340
"75",126.9014994032,33.4707018180
"76",126.6661107995,33.3283534612
"77",126.6972573703,33.5488042560
"78",126.2149683392,33.2931938746
"79",126.2149683392,33.2931938746
"80",126.8542169255,33.5265047857
"81",126.6340451943,33.5354109170
"82",126.6340451943,33.5354109170
"83",126.5641879052,33.5107194850
"84",126.7349822620,33.4349165620
"85",126.2605546637,33.4164560629
"86",126.4377999391,33.2635529225
"87",126.4998546117,33.4973880777
"88",126.4972820121,33.4839681074
"89",126.2606379332,33.2230894600
"90",126.6766980622,33.5374450479
"91",126.4399753086,33.4957806118
"92",126.4399753086,33.4957806118
"93",126.4319883985,33.4349491898
"94",126.2754050706,33.4027630862
"95",126.9057376705,33.4668916701
"96",126.9054859142,33.4699912987
"97",126.5807871896,33.5208187057
"98",126.5807871896,33.5208187057
"99",126.9057376705,33.4668916701
"100",126.1792761225,33.3044711850
"101",126.9054859142,33.4699912987
"102",126.5192718608,33.2544763018
"103",126.4833437209,33.4897494037
"104",126.5191503385,33.5047300279
"105",126.9031975212,33.4949164270
"106",126.6960019098,33.5510970844
"107",126.5251905293,33.5012472130
"108",126.9054859142,33.4699912987
"109",126.6038504982,33.2397053292
"110",126.5280786987,33.5151546524
"111",126.1739341845,33.3433980208
"112",126.2739534158,33.3575516991
"113",126.6455823414,33.5521003791
"114",126.6087576696,33.2807985313
"115",126.5191175895,33.5047553256
"116",126.5331005329,33.5156426891
"117",126.8103961349,33.3359366328
"118",126.1927908971,33.2790634905
"119",126.5680792333,33.2770546372
"120",126.8038612513,33.3070850196
"121",126.5324657884,33.4968133476
"122",126.4750295716,33.4958218358
"123",126.3000427881,33.3636859637
"124",126.4988731381,33.4911963083
"125",126.5367212502,33.4871993159
"126",126.4278801911,33.4559474678
"127",126.5058582794,33.4896381872
"128",126.5058582794,33.4896381872
"129",126.4212189911,33.2424423690
"130",126.9414486634,33.4587282369
"131",126.5201227767,33.5033108165
"132",126.5311755812,33.5148875497
"133",126.3497729111,33.2581333050
"134",126.6689825596,33.5425004512
"135",126.4844207472,33.4907963093
"136",126.5681161299,33.4772771178
"137",126.4699466891,33.4598603792
"138",126.7894318598,33.5423999700
"139",126.6698713706,33.3260627941
"140",126.4644311552,33.4802218784
"141",126.5302640351,33.5152456342
"142",126.4962799511,33.5010512764
"143",126.5701886587,33.2487070773
"144",126.5890531693,33.2813523873
"145",126.3833180445,33.2412104700
"146",126.2387098512,33.3940047009
"147",126.6800110764,33.4963602405
"148",126.7543616779,33.3881769366
"149",126.7543616779,33.3881769366
"150",126.3383372240,33.3059163022
"151",126.4760733960,33.4916928221
"152",126.3476583408,33.4240916085
"153",126.6193233953,33.5339154268
"154",126.5615337564,33.2603754182
"155",126.6345604651,33.5359708846
"156",126.1828110578,33.3429521306
"157",126.5200575822,33.2543630267
"158",126.5214024206,33.5149924476
"159",126.3124378099,33.4593776647
"160",126.2314386727,33.3833706351
"161",126.6589988368,33.5183001002
"162",126.4799952337,33.4912465549
"163",126.6358390275,33.5046609289
"164",126.8406982425,33.3586006169
"165",126.2582661416,33.3966818449
"166",126.4800013674,33.2367333312
"167",126.8326401699,33.4902117410
"168",126.6468320047,33.5410283566
"169",126.9450828244,33.5033054410
"170",126.6537632359,33.4817980892
"171",126.2822023917,33.2923543590
"172",126.9341709689,33.4635856177
"173",126.6195927450,33.5067458287
"174",126.6536102204,33.2756834868
"175",126.2619673042,33.4118216616
"176",126.3713212443,33.4729727992
"177",126.3687461610,33.3726836198
"178",126.6193233953,33.5339154268
"179",126.4792259866,33.4912443162
"180",126.5222767513,33.4990441523
"181",126.4242448877,33.2508383507
"182",126.4242448877,33.2508383507
"183",126.2692778906,33.4271612623
"184",126.8563939169,33.5271550379
"185",126.5731739395,33.4714788787
"186",126.4495125991,33.2526522343
"187",126.5194707284,33.5049827247
"188",126.5584699375,33.4501678386
"189",126.4212189911,33.2424423690
"190",126.5349592788,33.4976325418
"191",126.5082810638,33.5104770183
"192",126.5145383168,33.5103264272
"193",126.4683653092,33.4872296664
"194",126.3925066373,33.4662699123
"195",126.5291553617,33.5003488500
"196",126.3069107127,33.4506395619
"197",126.3069107127,33.4506395619
"198",126.4208878812,33.4660505205
"199",126.8721143904,33.3850697987
"200",126.2988357542,33.9583282469
"201",126.5055863133,33.4990952534
"202",126.5855445638,33.5252960617
"203",126.5289419013,33.2744782018
"204",126.5289419013,33.2744782018
"205",126.5289419013,33.2744782018
"206",126.6538549208,33.4823893444
"207",126.6538549208,33.4823893444
"208",126.5519027864,33.2954518015
"209",126.4168068337,33.2455888900
"210",126.4643386928,33.4838821206
"211",126.5138000005,33.4917299999
"212",126.5253999996,33.4984600002
"213",126.3638576377,33.3779221178
"214",126.2996195415,33.2484465599
"215",126.5567937544,33.2419197440
"216",126.5045259358,33.2573368087
"217",126.2515797641,33.2223045412
"218",126.5068590901,33.5162053840
"219",126.3079770823,33.4480546311
"220",126.2608008037,33.4162217649
"221",126.3682539137,33.2653854260
"222",126.9108974749,33.4971070613
"223",126.6623015292,33.2719719421
"224",126.5145999996,33.5001999998
"225",126.5145999996,33.5001999998
"226",126.8804492400,33.4441697535
"227",126.6170563361,33.2543926525
"228",126.6435873448,33.5266169492
"229",126.6782086689,33.4973559874
"230",126.7588791057,33.5569113018
"231",126.3309660277,33.2511137321
"232",126.7985999995,33.5550900001
"233",126.1852339643,33.3020901386
"234",126.5177565408,33.5030999431
"235",126.2390490535,33.3923409166
"236",126.7575045145,33.5572092081
"237",126.7575045145,33.5572092081
"238",126.6202000002,33.2505099999
"239",126.2399686649,33.3931173201
"240",126.4922903524,33.4805383849
"241",126.7605061715,33.5569011164
"242",126.5705529071,33.4821762996
"243",126.7595942365,33.5572281599
"244",126.7595942365,33.5572281599
"245",126.6314946670,33.2733435548
"246",126.7463119294,33.5555980823
"247",126.6961100251,33.5480197648
"248",126.5204359501,33.2576662453
"249",126.6582999999,33.5408499999
"250",126.2729417932,33.2512170255
"251",126.8439025881,33.5311012267
"252",126.6647418975,33.5421464374
"253",126.8115019729,33.4911042864
"254",126.5215953858,33.2491425759
"255",126.3046512170,33.2908489017
"256",126.3046512170,33.2908489017
"257",126.5139608505,33.5072924752
"258",126.5139608505,33.5072924752
"259",126.1939664524,33.2979476355
"260",126.4897617594,33.4525771082
"261",126.8804492400,33.4441697535
"262",126.5105674634,33.2545771419
"263",126.6517532410,33.5273040021
"264",126.2636709864,33.4173680720
"265",126.4970937793,33.4915719159
"266",126.2558742729,33.3476927357
"267",126.2558742729,33.3476927357
"268",126.1840369774,33.3567293613
"269",126.1840369774,33.3567293613
"270",126.4363859998,33.4597199996
"271",126.5669000004,33.2435599999
"272",126.3936229311,33.4675499545
"273",126.5593934342,33.2652978656
"274",126.4786601302,33.2375815584
"275",126.7499996995,33.5564987920
"276",126.6110000001,33.4703900004
"277",126.5480258128,33.4812196635
"278",126.5212100334,33.5126415204
"279",126.8161201028,33.3281756481
"280",126.8161201028,33.3281756481
"281",126.2651342910,33.4245434603
"282",126.4182441272,33.2545298847
"283",126.5176426291,33.4916801131
"284",126.4765776481,33.4854835304
"285",126.4339258183,33.4944445584
"286",126.9304057288,33.4700965122
"287",126.7483006482,33.2877237297
"288",126.5285999996,33.4919100003
"289",126.4011364514,33.4551897000
"290",126.5236588579,33.4995510291
"291",126.5753772246,33.2505518750
"292",126.5070008256,33.4894815331
"293",126.8150733198,33.5176049530
"294",126.5940965788,33.2900577523
"295",126.5155957126,33.4998064749
"296",126.5316710734,33.2607228457
"297",126.5316710734,33.2607228457
"298",126.5311964590,33.5132516927
"299",126.5716979445,33.5226807722
"300",126.3659005098,33.2348937796
"301",126.7199284044,33.2805287891
"302",126.8519257197,33.5221465298
"303",126.4248920003,33.4115349046
"304",126.2054741392,33.2729722949
"305",126.2807101322,33.4417907711
"306",126.4868451030,33.4677218907
"307",126.7957989696,33.5556244100
"308",126.8947433470,33.4238798182
"309",126.5632826535,33.5094101599
"310",126.4873668431,33.4572500328
"311",126.5551242732,33.4863395446
"312",126.4385559767,33.2408082985
"313",126.6632321475,33.5215502122
"314",126.4103000002,33.4610400000
"315",126.4103000002,33.4610400000
"316",126.3035964971,33.4500007632
"317",126.4720472913,33.4766147365
"318",126.6626932166,33.2740321507
"319",126.6626932166,33.2740321507
"320",126.5142515136,33.5157535044
"321",126.4521005217,33.4970771184
"322",126.2513645702,33.2194087049
"323",126.2215590001,33.3850480002
"324",126.2757002394,33.2194366125
"325",126.7627859996,33.5559480003
"326",126.8644252815,33.4996019522
"327",126.6570074221,33.5366499753
"328",126.5183429926,33.4912395240
"329",126.5179999997,33.4918299997
"330",126.2841019362,33.2913864411
"331",126.2611609126,33.2683332560
"332",126.2611609126,33.2683332560
"333",126.3261395438,33.4209853640
"334",126.2830676079,33.4398087643
"335",126.5474112746,33.5187263183
"336",126.5365999996,33.4864299997
"337",126.9342999999,33.4610700004
"338",126.8118142170,33.5528013814
"339",126.8118142170,33.5528013814
"340",126.4599894053,33.4531956438
"341",126.9475892100,33.4982890093
"342",126.5149836494,33.4939503133
"343",126.5108366712,33.5095237866
"344",126.5056016429,33.2329468236
"345",126.8870842282,33.5162709611
"346",126.3634190384,33.3463801974
"347",126.5594298349,33.2464356408
"348",126.4084962521,33.4789466809
"349",126.4084159236,33.4789091521
"350",126.5745221945,33.4704096195
"351",126.3555037830,33.2601689664
"352",126.2405600003,33.3947260003
"353",126.4327158179,33.4880017747
"354",126.5293755661,33.2480364788
"355",126.7891849345,33.5443236453
"356",126.6668654064,33.5424060569
"357",126.2656694452,33.4133008664
"358",126.5396849539,33.4819943611
"359",126.5576304835,33.2656609126
"360",126.2266121721,33.2486579990
"361",126.5755347108,33.5215504012
"362",126.4878123526,33.4683362707
"363",126.5413545269,33.5188572207
"364",126.2682247690,33.4124018455
"365",126.9098228997,33.4601955718
"366",126.2512642243,33.2609611089
"367",126.6464646830,33.5419449484
"368",126.2371212276,33.3586121111
"369",126.7317508121,33.2979759087
"370",126.2602388688,33.2652641988
"371",126.2810591886,33.3928061666
"372",126.5685999999,33.2470000002
"373",126.5064685729,33.2571659217
"374",126.8350822562,33.3298402567
"375",126.5340753668,33.5025310904
"376",126.7493300123,33.5546302390
"377",126.4038797408,33.4409616328
"378",126.5094224722,33.2488856165
"379",126.5425094990,33.4851430029
"380",126.5386048557,33.4737084633
"381",126.3041108620,33.2501652740
"382",126.8336820000,33.3255030000
"383",126.7512485124,33.5547410374
"384",126.2653115357,33.4203888285
"385",126.3292382001,33.2551396049
"386",126.5678794026,33.2471858683
"387",126.6210141582,33.5339152930
"388",126.6050000002,33.2401900001
"389",126.6050000002,33.2401900001
"390",126.9316077514,33.4256490741
"391",126.1786887102,33.3039425750
"392",126.4847342399,33.2535678256
"393",126.5701320088,33.2524095173
"394",126.6206950412,33.2609164523
"395",126.5923004145,33.2462005617
"396",126.4866616530,33.4667059353
"397",126.4905226047,33.4758567290
"398",126.8269225254,33.3292666302
"399",126.9311650877,33.4694728427
"400",126.5387000004,33.5088000002
"401",126.5387000004,33.5088000002
"402",126.2576551909,33.4049867831
"403",126.5322226186,33.5147115504
"404",126.5622024537,33.2836990352
"405",126.6004332645,33.2981261947
"406",126.5109024045,33.4856986998
"407",126.6586301249,33.5402292734
"408",126.3101779373,33.4442681504
"409",126.5390601041,33.4991262071
"410",126.5182800193,33.5078943868
"411",126.2602417142,33.2653595157
"412",126.6769830637,33.2757008807
"413",126.5321837113,33.4997796053
"414",126.5047689747,33.4937674594
"415",126.5108021236,33.4972041307
"416",126.5650838574,33.4771764453
"417",126.6170563361,33.2543926525
"418",126.5139295668,33.2586691981
"419",126.4844360353,33.4636116030
"420",126.5268880950,33.4760532543
"421",126.8224142744,33.5349670551
"422",126.5054726574,33.2329134916
"423",126.2589960626,33.4113204290
"424",126.5083000000,33.4925400004
"425",126.5445974795,33.4988823356
"426",126.5733732233,33.4741698445
"427",126.7487760675,33.5543021083
"428",126.7487760675,33.5543021083
"429",126.2682363928,33.4124258963
"430",126.6694030762,33.5424995424
"431",126.6624696137,33.2741206249
"432",126.6209738509,33.5230439475
"433",126.2404347366,33.3928291410
"434",126.2862263379,33.2926875065
"435",126.2862263379,33.2926875065
"436",126.2862263379,33.2926875065
"437",126.8873625461,33.5186197954
"438",126.9060680922,33.3949656644
"439",126.6972951127,33.5486030227
"440",126.5838999998,33.5237300001
"441",126.6381131294,33.2930415848
"442",126.4093969023,33.4834766785
"443",126.5323703667,33.4988694308
"444",126.5400000005,33.5015100000
"445",126.5899437227,33.5077833770
"446",126.5182554436,33.5079205275
"447",126.5343654411,33.5004528382
"448",126.3113628114,33.4186922499
"449",126.5325310003,33.4877700002
"450",126.7521988801,33.4814833803
"451",126.7994891441,33.3059456840
"452",126.5149990001,33.4822005997
"453",126.5633999998,33.4795099998
"454",126.5019565487,33.4835988450
"455",126.5361999996,33.5106300001
"456",126.5452820048,33.4837314806
